# dialogue chunk 0011  entries 4001-4400 of 10370
# seq	block	idx	speaker	source	target
4001	map240_d2c8a924	0		He clutches the pendent close to his chest.	他把吊坠紧紧贴在胸前。
4215	map251_0da61b66	0		Staying true to his word, Sovy was nowhere to be seen.{w}\nIt's probably for the best. Letting him help us was too risky.{w}\nBut part of me wonders if I'd ever see him again after this.	索维信守诺言，哪里都见不到他。{w}\n这大概是最好的结果。让他帮我们太冒险了。{w}\n但我心里有一部分在想，这之后我还会不会再见到他。
4216	map251_a38df915	0		As I continue down the docks, eyes start to fixate on me.{w}\nNot just me, but the blade upon my back as well. They all knew who I was.{w}\nAt this moment, I feel the weight resting on my shoulders — but I stand strong.	我继续沿着码头走着，目光开始聚集在我身上。{w}\n不只是我，还有我背上的那把剑。他们都知道我是谁。{w}\n此刻，我感受到肩上的重担——但我依然挺立。
4217	map251_b4948cb2	0		This was a burden that I was ready to carry.{w}\nNo — this was a burden that I was {i}born{/i} to carry.{w}\nI smile at them as I walk by, and they do so in turn.	这是我准备好背负的重担。{w}\n不——这是我{i}生来{/i}就要背负的重担。{w}\n走过时我对他们微笑，他们也报以微笑。
4218	map251_8ca10392	0		As I walk, I eventually run into Damek.{w}\nHe's overseeing everybody's efforts — making sure it goes smoothly.{w}\nThere was a lot to transport. We'd all need weapons, food, and drink.	走着走着，我最终遇到了达梅克。{w}\n他正监督着所有人的工作——确保一切顺利进行。{w}\n要运送的东西很多。我们都需要武器、食物和饮水。
4219	map251_5ead830f	0	char_damek	Quite the army, isn't it?\nSalus would be proud. I know he would.\nForgive me for taking charge, though. You deserve a break.	真是支了不起的军队，不是吗？\n萨卢斯会为你骄傲的。我知道他一定会的。\n不过，原谅我擅自担起了指挥。你该歇一歇了。
4220	map251_db1c83d1	0	char_damek	Or at least, a chance to save your energy.\nYou'll need most of it in Balteus — not here.\nWe'll take care of everything until then.	或者至少，是个节省精力的机会。\n你的精力大部分要留到巴尔泰乌斯——不是用在这里。\n在那之前，一切交给我们。
4221	map251_597fb85a	0		I nod, thankful that Damek is taking the initiative.{w}\nI'd definitely need to use the voyage as time to prepare.{w}\nMy skill with this blade is limited, but I know I can improve.	我点点头，感谢达梅克主动担起这些。{w}\n我肯定需要利用这段航程来做好准备。{w}\n我用这把剑的水平有限，但我知道自己可以进步。
4222	map251_100188e2	0	char_damek	I made sure to put us on the same boat as each other.\nEveryone, actually. Howl, Valessa, Fortaime, Ulric, Pro...\nIt's probably best if we're all together for the end of this journey.	我特意把我们安排在了一条船上。\n其实是所有人。豪尔、瓦莱莎、福泰姆、乌尔里克、普洛……\n这段旅程的终点，我们最好都在一起。
4223	map251_1d278cad	0		That much was true. I'd need my friends by my side for this.{w}\nWe were about to change the entire world. We'd be slaying \"Gods\".{w}\nPart of me wonders just who they are — and why they do what they've done.	这话不假。这件事我需要朋友们在我身边。{w}\n我们即将改变整个世界。我们要弑杀“神明”。{w}\n我心中有一部分在想，他们究竟是谁——又为何要做这些事。
4224	map251_ff0a856c	0		There's probably no point in concerning myself with that information.{w}\nNothing about them could excuse what they've done. They need to fall.{w}\nI thank Damek for everything that he's done, and this makes him happy.	去纠结这些信息大概也没什么意义。{w}\n他们的一切都无法为他们所做的事开脱。他们必须倒下。{w}\n我感谢达梅克所做的一切，这让他很高兴。
4225	map251_36c35b07	0	char_damek	Of course, [firstname]. Anything to help you out.\nBut I think we're almost ready to set sail. Want to get on board?\nMight as well lead by example. A lot of people are just standing around.	当然，[firstname]。只要能帮上你。\n不过我想我们差不多可以启航了。要上船吗？\n不妨以身作则。很多人还只是站在那儿。
4226	map251_648bacbe	0		We turn to leave, but we're quickly interrupted.{w}\nIt's the last person I'd expect to see, but I'm not surprised.	我们转身要走，却很快被打断了。{w}\n那是我最意想不到会见到的人，但我并不意外。
4227	map251_c4368fe8	0	char_jit_map251_1_0_130	Leaving without me, Damek?\nI thought you wanted me to come along.	达梅克，你要丢下我就走？\n我还以为你想让我一起去的。
4228	map251_2a9a3456	0	char_damek	Hey Gryz, happy to see you.\nWe weren't leaving — just getting on board.\nHopefully everybody else will take the hint and follow suit.	嘿，格瑞兹，很高兴见到你。\n我们不是要走——只是先上船而已。\n希望其他人也能明白过来，跟着照做。
4229	map251_b263315c	0	char_jit_map251_1_0_130	Fair enough. Hey there, [firstname].\nDamek told me everything when you got back from Alarinthia.\nIt seems like we were looking at things the wrong way all along.	那倒是。你好啊，[firstname]。\n你们从阿拉林西亚回来时，达梅克把一切都告诉我了。\n看来我们一直都用错了眼光看事情。
4230	map251_89db1a60	0	char_jit_map251_1_0_130	At least, I definitely was.\nI thought that my death in those tunnels would redeem me.\nBut now I know that my fate lies elsewhere — in Balteus.	至少，我肯定是错了。\n我以为在那些隧道里死去就能赎罪。\n但现在我知道，我的命运在别处——在巴尔泰乌斯。
4231	map251_01c7fc1e	0		I'm glad that his outlook has changed.{w}\nI couldn't let him kill himself back in our HQ.{w}\nHe was just lost — and needed some direction.	我很高兴他的想法改变了。{w}\n我不能让他在我们总部里自杀。{w}\n他只是迷失了——需要有人给他指个方向。
4232	map251_30ed89ee	0	char_jit_map251_1_0_130	At first, I was furious that you denied me my redemption.\nBut when Damek came to see me, I looked at it differently.\nI was meant to survive those tunnels, and help your final attack.	起初，你拒绝了我的赎罪，我很愤怒。\n但当达梅克来看我时，我换了个角度看这件事。\n我本就该在那些隧道里活下来，帮你完成最后的进攻。
4233	map251_05f7bd84	0		He holds out his hand, awaiting my response.	他伸出手，等着我的回应。
4234	map251_58de7f44	0	char_jit_map251_1_0_130	What do you say...? \n\"To The Triumvirate's fall\"?\nMazeo can rest with Lillith for now.	你觉得呢……？\n“敬三人执政团的覆灭”？\n马泽奥暂且可以和莉莉丝安息了。
4235	map251_0c898e66	0		Yeah — to The Triumvirate's fall.{w}\nI shake his hand, and his grip is firm.{w}\nThe support our cause is getting overwhelms me.	好——敬三人执政团的覆灭。{w}\n我握住他的手，他的手掌很有力。{w}\n我们的事业得到的支持让我感到心潮澎湃。
4236	map251_af2c4b5e	0	char_jit_map251_1_0_130	Thank you, Monarch. Let's put the past behind us.\nHonestly, I think all of us want to forget about those tunnels.\nI promise that from here on out, I'll maintain a clear mind.	谢谢你，君主。让我们把过去抛在身后。\n说实话，我想我们所有人都想忘掉那些隧道里的事。\n我保证，从现在起，我会保持清醒的头脑。
4237	map251_3ac13136	0		I nod, and we start making our way toward the boat.{w}\nOur vessel is the same one we used to get to Alarinthia.{w}\nIt's a bit bigger than the rest, and would work as a mobile HQ.	我点点头，我们开始朝船走去。{w}\n我们的船就是之前去阿拉林西亚时用的那一艘。{w}\n它比其余的稍大一些，可以当作移动的总部。
4238	map251_03f0cd6e	0		When I get to the deck, I turn around and look at the docks.{w}\nEveryone is saying their final goodbyes, since we might not make it back.{w}\nI give them all the time they need, and slowly watch as they board our fleet.	我走上甲板，回身望向码头。{w}\n每个人都在做着最后的告别，因为我们也许回不来了。{w}\n我给他们留出需要的时间，静静看着他们登上我们的船队。
4239	map251_087b5352	0		Actually, I might not make it back either. That thought fills me with fright.{w}\nTaking one last look at Mazean soil, I say goodbye under my breath.{w}\nWhat happened next, would change the course of Alestian history forever.	其实，我也许也回不来了。这个念头让我满心恐惧。{w}\n最后望了一眼马泽奥的土地，我低声作了道别。{w}\n接下来发生的事，将永远改变阿莱斯提亚历史的走向。
4240	map251_3ac13136_1	0		I nod, and we start making our way toward the boat.{w}\nOur vessel is the same one we used to get to Alarinthia.{w}\nIt's a bit bigger than the rest, and would work as a mobile HQ.	我点点头，我们开始朝船走去。{w}\n我们的船就是之前去阿拉林西亚时用的那一艘。{w}\n它比其余的稍大一些，可以当作移动的总部。
4241	map251_03f0cd6e_1	0		When I get to the deck, I turn around and look at the docks.{w}\nEveryone is saying their final goodbyes, since we might not make it back.{w}\nI give them all the time they need, and slowly watch as they board our fleet.	我走上甲板，回身望向码头。{w}\n每个人都在做着最后的告别，因为我们也许回不来了。{w}\n我给他们留出需要的时间，静静看着他们登上我们的船队。
4242	map251_5da65c59	0		I might not make it back, either. That thought fills me with fright.{w}\nTaking one last look at Mazean soil, I say goodbye under my breath.{w}\nWhat happened next, would change the course of Alestian history forever.	我也许也回不来了。这个念头让我满心恐惧。{w}\n最后望了一眼马泽奥的土地，我低声作了道别。{w}\n接下来发生的事，将永远改变阿莱斯提亚历史的走向。
4243	map251_bd91147d	0		As I walk, I eventually run into Howl.{w}\nHe's overseeing everybody's efforts — making sure it goes smoothly.{w}\nThere was a lot to transport. We'd all need weapons, food, and drink.	走着走着，我最终遇到了豪尔。{w}\n他正监督着所有人的工作——确保一切顺利进行。{w}\n要运送的东西很多。我们都需要武器、食物和饮水。
4244	map251_7d4789dc	0	char_howl	We find this army quite impressive.\nSo many people are willing to fight for our cause.\nLet us hope that the rest of the world accepts your rule.	我们觉得这支军队相当了不起。\n这么多人都愿意为我们的事业而战。\n但愿世界的其他地方也能接受你的统治。
4245	map251_99c09058	0		I nod. That would be our next challenge.{w}\nThey wouldn't just bow to new rulers overnight.{w}\nIt'd take serious effort, coordination, and planning.	我点点头。那将是我们接下来的挑战。{w}\n他们不会一夜之间就向新统治者臣服。{w}\n那需要付出巨大的努力、协调与谋划。
4246	map251_31e4b588	0	char_howl	We thought you deserved a break, so we took action.\nYour energy is best conserved until we reach Balteus.\nYou needn't worry about stocking or manning the ships.	我们觉得你该歇一歇，所以就动手了。\n你的精力最好留到我们抵达巴尔泰乌斯之前。\n你不必操心物资补给或船上的人手。
4247	map251_2bb2b65c	0		I smile, thankful that Howl is taking the initiative.{w}\nI'd definitely need to use the voyage as time to prepare.{w}\nI wasn't as skilled with this blade as I could be. I needed to practice.	我笑了，感谢豪尔主动担起这些。{w}\n我肯定需要利用这段航程来做好准备。{w}\n我用这把剑的技艺还不到家。我需要练习。
4248	map251_9e35dc84	0	char_howl	By the way, we made sure that we're all on the same boat.\nYou and your cloest comrades, together in these final moments.\nWe thought it fitting, since this is the end of our long journey.	顺便一提，我们确保大家都在这同一条船上。\n你和最亲密的同伴们，在这最后的时刻聚在一起。\n我们觉得这样很合适，毕竟这是我们漫长旅程的终点。
4249	map251_e79bef21	0		Yeah, having my friends close by would be a big help.{w}\nThis was a stressful time, and my comrades gave me a sense of comfort.{w}\nThere's no other group of people I'd rather have by my side as we reached the end.	是啊，有朋友们在身边会是很大的帮助。{w}\n这段时间压力很大，我的同伴们给了我一种安慰。{w}\n在走到终点时，我身边最想有的就是他们。
4250	map251_72708c79	0	char_howl	We think it may be time to board the ship, [firstname].\nLeading by example is a good idea. Too many people just standing around.\nIf we show that we're ready to leave — they might take it as a sign to hurry up.	我们觉得也许该上船了，[firstname]。\n以身作则是好主意。太多人只是站在那儿。\n如果我们表明已经准备好了——他们也许就会当作该抓紧的信号。
4251	map251_648bacbe_1	0		We turn to leave, but we're quickly interrupted.{w}\nIt's the last person I'd expect to see, but I'm not surprised.	我们转身要走，却很快被打断了。{w}\n那是我最意想不到会见到的人，但我并不意外。
4252	map251_4f0ed970	0	char_jit_map251_1_0_398	Hey, now — don't leave without me.\nOr at least, let me say a few words before you do.\nI've been thinking a lot since we last met in those tunnels.	嘿，等等——别丢下我就走。\n或者至少，在你们走之前让我说几句。\n自从我们在那些隧道里最后一次见面后，我想了很多。
4253	map251_e528d23e	0		Gryz stands before us with a smile on his face.{w}\nIt's good to see him again. I was curious about what happened to him.{w}\nI figured he ran away, since he almost disappeared — but I'm glad that he's back.	格瑞兹面带微笑站在我们面前。{w}\n很高兴再见到他。我一直好奇他后来怎么样了。{w}\n我以为他逃走了，因为他几乎消失了——但我很高兴他回来了。
4254	map251_d64027e4	0	char_howl	We know this one. He was there by the idol.\nBlinded by his quest for redemption, if we're not mistaken.\nIt is unlikely that he knows the truth of what's going on, here.	我们认识这个人。他当时就在灵像旁。\n如果我们没记错，他被赎罪的执念蒙蔽了双眼。\n他不太可能知道这里正在发生的真相。
4255	map251_37373923	0	char_jit_map251_1_0_398	Of course I do. I know about The Monarchy, as well. \nDamek told me everything when you got back from Alarinthia.\nIt turns out that we were all looking at things the wrong way.	我当然知道。我也知道王室的事。\n你们从阿拉林西亚回来时，达梅克把一切都告诉我了。\n原来我们一直都看错了事情。
4256	map251_18f578d2	0	char_jit_map251_1_0_398	At least, I know that I certainly was.\nI thought that my death in those tunnels would redeem me.\nBut now I know that my fate lies elsewhere — in Balteus.	至少，我知道我肯定错了。\n我以为在那些隧道里死去就能赎罪。\n但现在我知道，我的命运在别处——在巴尔泰乌斯。
4257	map251_01c7fc1e_1	0		I'm glad that his outlook has changed.{w}\nI couldn't let him kill himself back in our HQ.{w}\nHe was just lost — and needed some direction.	我很高兴他的想法改变了。{w}\n我不能让他在我们总部里自杀。{w}\n他只是迷失了——需要有人给他指个方向。
4258	map251_e44f0a86	0	char_jit_map251_1_0_398	At first, I was furious that you denied me my redemption.\nBut when Damek came to see me, I looked at it differently.\nI was meant to survive those tunnels, and help your final attack.	起初，你拒绝了我的赎罪，我很愤怒。\n但当达梅克来看我时，我换了个角度看这件事。\n我本就该在那些隧道里活下来，帮你完成最后的进攻。
4259	map251_05f7bd84_1	0		He holds out his hand, awaiting my response.	他伸出手，等着我的回应。
4260	map251_a262ff7a	0	char_jit_map251_1_0_398	What do you say...? \n\"To The Triumvirate's fall\"?\nMazeo can rest with Lillith for now.	你觉得呢……？\n“敬三人执政团的覆灭”？\n马泽奥暂且可以和莉莉丝安息了。
4261	map251_0c898e66_1	0		Yeah — to The Triumvirate's fall.{w}\nI shake his hand, and his grip is firm.{w}\nThe support our cause is getting overwhelms me.	好——敬三人执政团的覆灭。{w}\n我握住他的手，他的手掌很有力。{w}\n我们的事业得到的支持让我感到心潮澎湃。
4262	map251_b12cd9fe	0	char_jit_map251_1_0_398	Thank you, [firstname]. Let's put the past behind us.\nHonestly, I think all of us want to forget about those tunnels.\nI promise that from here on out, I'll maintain a clear mind.	谢谢你，[firstname]。让我们把过去抛在身后。\n说实话，我想我们所有人都想忘掉那些隧道里的事。\n我保证，从现在起，我会保持清醒的头脑。
4263	map251_3ac13136_2	0		I nod, and we start making our way toward the boat.{w}\nOur vessel is the same one we used to get to Alarinthia.{w}\nIt's a bit bigger than the rest, and would work as a mobile HQ.	我点点头，我们开始朝船走去。{w}\n我们的船就是之前去阿拉林西亚时用的那一艘。{w}\n它比其余的稍大一些，可以当作移动的总部。
4264	map251_03f0cd6e_2	0		When I get to the deck, I turn around and look at the docks.{w}\nEveryone is saying their final goodbyes, since we might not make it back.{w}\nI give them all the time they need, and slowly watch as they board our fleet.	我走上甲板，回身望向码头。{w}\n每个人都在做着最后的告别，因为我们也许回不来了。{w}\n我给他们留出需要的时间，静静看着他们登上我们的船队。
4265	map251_087b5352_1	0		Actually, I might not make it back either. That thought fills me with fright.{w}\nTaking one last look at Mazean soil, I say goodbye under my breath.{w}\nWhat happened next, would change the course of Alestian history forever.	其实，我也许也回不来了。这个念头让我满心恐惧。{w}\n最后望了一眼马泽奥的土地，我低声作了道别。{w}\n接下来发生的事，将永远改变阿莱斯提亚历史的走向。
4266	map251_3ac13136_3	0		I nod, and we start making our way toward the boat.{w}\nOur vessel is the same one we used to get to Alarinthia.{w}\nIt's a bit bigger than the rest, and would work as a mobile HQ.	我点点头，我们开始朝船走去。{w}\n我们的船就是之前去阿拉林西亚时用的那一艘。{w}\n它比其余的稍大一些，可以当作移动的总部。
4267	map251_03f0cd6e_3	0		When I get to the deck, I turn around and look at the docks.{w}\nEveryone is saying their final goodbyes, since we might not make it back.{w}\nI give them all the time they need, and slowly watch as they board our fleet.	我走上甲板，回身望向码头。{w}\n每个人都在做着最后的告别，因为我们也许回不来了。{w}\n我给他们留出需要的时间，静静看着他们登上我们的船队。
4268	map251_087b5352_2	0		Actually, I might not make it back either. That thought fills me with fright.{w}\nTaking one last look at Mazean soil, I say goodbye under my breath.{w}\nWhat happened next, would change the course of Alestian history forever.	我也许也回不来了。这个念头让我满心恐惧。{w}\n最后望了一眼马泽奥的土地，我低声作了道别。{w}\n接下来发生的事，将永远改变阿莱斯提亚历史的走向。
4269	map252_ea56a752	0		Turning around to face the deck, I notice that Sovy is waving me over.{w}\nI walk toward him, wondering what it could be about. This seems important.{w}\nAs I make my way across the ship, I notice all my comrades scurrying about.	我转身面向甲板，注意到索维在朝我招手。{w}\n我朝他走去，想知道是为了什么。这事似乎很重要。{w}\n我穿过船只时，注意到我的同伴们都在匆匆忙忙地走动。
4270	map252_a2152ff3	0	char_sovy	I'm glad that they put us all on the same boat.\nI must say — I've gotten used to you and your friends.\nBeing placed anywhere else would be pretty uncomfortable.	我很高兴他们把我们安排在同一条船上。\n不得不说——我已经习惯了你和你的朋友们。\n被安排到别处会让我很不自在。
4271	map252_92c71c7f	0	char_sovy	I just wanted to tell you that I gave Damek some information.\nHe's forming a plan of attack as we speak, so it definitely helped.\nWhen it comes to Balteus and The Triumvirate, I know more than anybody.	我只是想告诉你，我给了达梅克一些情报。\n他此刻正在制定进攻计划，所以这肯定帮上了忙。\n说到巴尔泰乌斯和三人执政团，我比任何人都了解。
4272	map252_6be55e06	0	char_sovy	I'm sorry for what we did to him during our attack, by the way.\nI ordered Shane to stab him, so it's technically my fault.\nHe seems fine though — so no hard feelings...?	顺便说，我为我们在袭击中对他做的事感到抱歉。\n是我下令让肖恩刺他的，所以严格来说是我的错。\n不过他看起来没事——那就别记恨我了……？
4273	map252_c73d2b88	0		I shrug, uncertain of how to respond.{w}\nIf it happened any differently, he'd be dead for sure.{w}\nIt feels a bit beyond coincidence, but I don't stop to question it.	我耸耸肩，不知道该如何回应。{w}\n要是稍有不同，他肯定就死了。{w}\n这感觉有点不像是巧合，但我没停下来深究。
4274	map252_3730098d	0	char_sovy	They might not tell your allies that I gave them this information, though.\nNot everybody trusts me, so it would probably just cause more harm than good.\nI'm not here to cause harm, so we all agreed it was best to \"omit\" a few facts.	不过，他们可能不会告诉你的盟友这情报是我给的。\n不是每个人都信任我，说了大概只会弊大于利。\n我不是来惹麻烦的，所以我们都同意，最好“省略”一些事实。
4275	map252_e906439f	0		It makes sense, so I understand where they're coming from.{w}\nFighting amongst ourselves is the last thing we need before the final battle.{w}\nIt was a time to stand strong, and united. A time to trust one another unconditionally.	这说得通，所以我理解他们的顾虑。{w}\n在最终决战之前，我们最不需要的就是内斗。{w}\n现在是坚强、团结的时候。是彼此无条件信任的时候。
4276	map252_e347a6be	0	char_sovy	That's it, really. I just thought you deserved to know it came from me.\nI {i}did{/i} promise information that would help your final attack, after all.\nIf anything else comes to mind, I'll make sure to bring it to attention.	就这样，真的。我只是觉得你应该知道这情报是我提供的。\n毕竟我{i}确实{/i}承诺过会提供有助于你们最后进攻的情报。\n如果我还想到别的，一定会提出来。
4277	map252_fe0a6421	0		He's definitely going to great lengths to make himself seem genuine.{w}\nThat's good. There was a lot of doubt in the air surrounding this alliance.{w}\nThe people may not know he tipped us off, but they didn't really have to.	他确实费尽心思让自己显得诚恳。{w}\n这是好事。围绕这次结盟的疑虑一直很多。{w}\n人们也许不知道是他给我们通风报信，但他们其实也没必要知道。
4278	map252_64f6e76e	0		He turns away from me, and stares into the distance. I guess this talk is over.{w}\nI decide to make my way to Damek and Howl to see what information he gave them.{w}\nBut before I can get there, I'm interrupted by my comrades. They seem really excited.	他转身背对我，望向远方。看来这次谈话结束了。{w}\n我决定去找达梅克和豪尔，看看他给了他们什么情报。{w}\n但我还没走到，就被同伴们打断了。他们看起来非常兴奋。
4279	map252_3c5bcfe1	0		We exchange hugs and pleasantries for a few moments.{w}\nAre they really happy? Or are they just putting on an act?{w}\nIt's hard to tell — since this is the calm before the storm.	我们拥抱寒暄了一阵。{w}\n他们是真的开心吗？还是只是在演戏？{w}\n很难分辨——毕竟这是暴风雨前的平静。
4280	map252_30d74ed5	0	char_sovy	I just wanted to tell you that I gave Howl some information.\nHe's forming a plan of attack as we speak, so it definitely helped.\nWhen it comes to Balteus and The Triumvirate, I know more than anybody.	我只是想告诉你，我给了豪尔一些情报。\n他此刻正在制定进攻计划，所以这肯定帮上了忙。\n说到巴尔泰乌斯和三人执政团，我比任何人都了解。
4281	map252_36dc99e0	0	char_sovy	But I guess he knows a bit about Balteus as well.\nI find it hard to believe that there's a legion of spirits inside of him.\nCrazier things have happened, I guess. It's just — really interesting.	不过我猜他对巴尔泰乌斯也有些了解。\n我很难相信他体内寄居着一整支灵军团。\n更离奇的事也发生过，我想。只是——真的很有意思。
4282	map252_d172a01e	0	char_sovy	If he survives the war, I'd love to learn more about The Monarchy.\nYou should study them as well — since you're next in line for the throne.\nIt might be helpful to know what legacy you're carrying on, right...?	如果他能活过这场战争，我很想多了解一些王室的事。\n你也该研究研究他们——毕竟你是王位的下一任继承人。\n知道自己在继承什么样的遗产，也许会有帮助，对吧……？
4283	map252_1210ec46	0		That's true — but there would be a better time and place.{w}\nRight now my main focus was taking down The Triumvirate.{w}\nUntil the throne was mine, all of that should be off the table.	这话不假——但会有更好的时间和场合。{w}\n眼下我的主要目标是打倒三人执政团。{w}\n在王位归我之前，那些事都该先搁置。
4284	map252_19395f78	0		Sovy nods, and decides to change the subject.{w}\nIt's remarkable how easy it was to get along with him.{w}\nUntil just recently, he seemed like such a cold, heartless killer.	索维点点头，决定换个话题。{w}\n跟他相处竟然如此轻松，真令人意外。{w}\n直到不久之前，他还像个冷酷无情的杀手。
4285	map252_6c8fea11	0	char_sovy	They might not tell your allies that I gave them this information, though.\nNot everybody trusts me, so it would probably just cause more harm than good.\nI'm not here to cause harm, so we all agreed it was best to \"omit\" a few facts.	不过，他们可能不会告诉你的盟友这情报是我给的。\n不是每个人都信任我，说了大概只会弊大于利。\n我不是来惹麻烦的，所以我们都同意，最好“省略”一些事实。
4286	map252_e906439f_1	0		It makes sense, so I understand where they're coming from.{w}\nFighting amongst ourselves is the last thing we need before the final battle.{w}\nIt was a time to stand strong, and united. A time to trust one another unconditionally.	这说得通，所以我理解他们的顾虑。{w}\n在最终决战之前，我们最不需要的就是内斗。{w}\n现在是坚强、团结的时候。是彼此无条件信任的时候。
4287	map252_a8ef674e	0	char_sovy	That's it, really. I just thought you deserved to know it came from me.\nI {i}did{/i} promise information that would help your final attack, after all.\nIf anything else comes to mind, I'll make sure to bring it to attention.	就这样，真的。我只是觉得你应该知道这情报是我提供的。\n毕竟我{i}确实{/i}承诺过会提供有助于你们最后进攻的情报。\n如果我还想到别的，一定会提出来。
4288	map252_fe0a6421_1	0		He's definitely going to great lengths to make himself seem genuine.{w}\nThat's good. There was a lot of doubt in the air surrounding this alliance.{w}\nThe people may not know he tipped us off, but they didn't really have to.	他确实费尽心思让自己显得诚恳。{w}\n这是好事。围绕这次结盟的疑虑一直很多。{w}\n人们也许不知道是他给我们通风报信，但他们其实也没必要知道。
4289	map252_64f6e76e_1	0		He turns away from me, and stares into the distance. I guess this talk is over.{w}\nI decide to make my way to Damek and Howl to see what information he gave them.{w}\nBut before I can get there, I'm interrupted by my comrades. They seem really excited.	他转身背对我，望向远方。看来这次谈话结束了。{w}\n我决定去找达梅克和豪尔，看看他给了他们什么情报。{w}\n但我还没走到，就被同伴们打断了。他们看起来非常兴奋。
4290	map252_3c5bcfe1_1	0		We exchange hugs and pleasantries for a few moments.{w}\nAre they really happy? Or are they just putting on an act?{w}\nIt's hard to tell — since this is the calm before the storm.	我们拥抱寒暄了一阵。{w}\n他们是真的开心吗？还是只是在演戏？{w}\n很难分辨——毕竟这是暴风雨前的平静。
4291	map252_1a0bc0d1	0		I turn around to face the deck and crew. The atmosphere seems tense.{w}\nDamek and Howl almost immediately grouped together. They're inspecting parchments.{w}\nIt looks important, as they're locked in discussion. They don't seem to be arguing with one another.	我转身面向甲板和船员。气氛似乎很紧张。{w}\n达梅克和豪尔几乎立刻就凑到了一起。他们在查看羊皮纸。{w}\n那看起来很重要，他们正专注于讨论。他们似乎并没有在争吵。
4292	map252_f21bc13d	0		As I walk toward them to see what's happening, I'm immediately interrupted by my comrades.{w}\nHappy to see me aboard, there's a quick exchange of hugs and pleasantries. They seem excited.{w}\nPerhaps they really are. Or, perhaps, they're putting on an act to hide how frightened they are.	我朝他们走去，想看看发生了什么，却立刻被同伴们打断。{w}\n他们高兴看到我上了船，很快互相拥抱寒暄了一番。他们看起来很兴奋。{w}\n也许他们是真的兴奋。又或者，他们是在演戏，掩饰自己的恐惧。
4293	map252_1e2696aa	0		Either way, it's best to make the most of any happy moments.{w}\nThis was the calm before the storm. One final storm.	无论如何，都该尽情享受任何快乐的时刻。{w}\n这是暴风雨前的平静。最后一场暴风雨。
4294	map253_9383ad5d	0	char_fortaime	Hey there, [firstname]!\nGlad to see you made it here.\nI'm happy we're all on the same boat.	你好啊，[firstname]！\n很高兴看到你也来了。\n我很开心我们都在同一条船上。
4295	map253_89f7c99b	0	char_valessa	Yeah, it makes me feel way better.\nIf I was stuck with other people, I'd be worried.\nBut in this situation, I'm not. I'm perfectly comfortable.	是啊，这让我安心多了。\n要是跟别人困在一起，我会担心。\n但眼下的情况，我一点也不担心。我完全自在。
4296	map253_bc90d853	0	char_pro	I'm just doing my best to hang in there...\nThis whole \"life at sea\" thing really isn't my style.\nI can't wait to get back and settle down for good.	我只是在尽力撑着……\n这种“海上生活”实在不合我的性子。\n我迫不及待想回去，彻底安顿下来。
4297	map253_2a7830ca	0	char_ulric	Knock on wood, Pro.\nDon't get arrogant before the final battle.\nThis is a huge gamble — you need to give it your all.	别把话说满，普洛。\n在最终决战前可别太自满。\n这是一场豪赌——你必须全力以赴。
4298	map253_c31f47ea	0	char_pro	Me? Arrogant? Never.\nAnyway, I need to take my mind off of this water stuff.\nHow about we go sit in the crew quarters and play some cards?	我？自满？绝不会。\n总之，我得把心思从这水上移开。\n不如我们去船员舱坐着打几把牌？
4299	map253_fa8432a9	0	char_ulric	Sure. But I think Damek is about to make a speech.\nHe's been lost in conversation with Howl for a while now.\nI overheard them talking about our plan of attack in Balteus.	好啊。不过我想达梅克快要讲话了。\n他和豪尔聊了很久了。\n我无意中听到他们在谈我们在巴尔泰乌斯的进攻计划。
4300	map253_608980ec	0	char_ulric	Sure. But I think Howl is about to make a speech.\nHe's been lost in conversation with Damek for a while now.\nI think I heard them talking about our upcoming plan of attack.	好啊。不过我想豪尔快要讲话了。\n他和达梅克聊了很久了。\n我好像听到他们在谈我们接下来的进攻计划。
4301	map253_3de398ee	0	char_pro	Alright, alright — I can wait.\nMaybe you should get over there, [firstname].\nI'm pretty sure that's something you'll want to be a part of.	好吧，好吧——我可以等。\n也许你该过去那边，[firstname]。\n我很确定那是你会想参与的事。
4302	map253_2de48727	0		That's true, and I was making my way over there anyway.{w}\nUlric and Pro go about their business, but Valessa and Fortaime stay.	确实如此，我本来也正往那边去。{w}\n乌尔里克和普洛去忙自己的事了，但瓦莱莎和福泰姆留了下来。
4303	map253_b4bc8b9f	0	char_fortaime	Good luck, [firstname].\nI hope we get to spend more time together, but I understand if we don't get to.\nThis is probably the most important moment of your life — so do whatever you need.	祝你好运，[firstname]。\n我希望我们能多相处一些时间，但要是没机会，我也理解。\n这大概是你一生中最重要的时刻——所以去做你需要做的事吧。
4304	map253_13ba6146	0	char_valessa	Yeah — as much as we need you, I think the world needs you more.\nHopefully this isn't goodbye, but there's always the chance that it is.\nSince we're going to Balteus, we need to treat that as a real option.	是啊——尽管我们需要你，但我觉得这个世界更需要你。\n希望这不是告别，但总有可能就是。\n既然我们要去巴尔泰乌斯，就得把这种可能当真。
4305	map253_df267607	0		It's true, as grim as it made the conversation feel.{w}\nBefore I can respond, they both step forward and hug me at the same time.{w}\nI let out a soft laugh, and wrap my arms around them. Together, we've all come so far.	确实如此，尽管这让谈话变得沉重。{w}\n我还没来得及回应，她们就一起上前抱住了我。{w}\n我轻声一笑，张开双臂回抱她们。我们一起走了这么远。
